n,z,positronEmission(keV)
87,55,-6306.9056
88,55,-8494.6343
89,55,-7421.0584
90,55,-9583.084499999999
91,55,-8377.427599999999
92,55,-10541.9978
93,55,-9282.9978
94,55,-11321.9978
95,55,-10201.9978
57,56,11033.0022
58,56,7758.4937
59,56,9757.0022
60,56,6641.0022
61,56,8013.196499999999
62,56,5188.0022
63,56,6692.9673
64,56,3978.0022
65,56,5335.497
66,56,2513.8192
67,56,4366.6956
68,56,1629.277
69,56,3398.7685
70,56,658.7719000000001
71,56,2400.0741
72,56,-459.38069999999993
73,56,1416.1864999999998
74,56,-1379.0197
75,56,354.61800000000005
76,56,-2304.2077
77,56,-504.56679999999994
78,56,-3080.8346
79,56,-1290.6961000000001
80,56,-3570.2219
81,56,-2197.6263
82,56,-6396.7754
83,56,-5234.8271
84,56,-7240.1647
85,56,-6277.1388
86,56,-8349.6985
87,56,-7283.6843
88,56,-9517.7657
89,56,-8483.7569
90,56,-10577.885999999999
91,56,-9365.9609
92,56,-11655.9592
93,56,-10552.9978
94,56,-12741.9978
95,56,-11681.9978
96,56,-13501.9978
59,57,13308.0022
60,57,10165.0022
61,57,11558.0022
62,57,8548.0022
63,57,10297.0022
64,57,7533.0022
65,57,9044.0022
66,57,5982.0022
67,57,7809.1707
68,57,4887.4857999999995
69,57,6674.4398
70,57,3899.8408
71,57,5721.7189
72,57,2715.3269
73,57,4607.4043
74,57,1887.6958
75,57,3689.3278
76,57,1037.1225
77,57,2709.3456
78,57,185.19950000000006
79,57,1827.5937
80,57,-441.46219999999994
81,57,726.3999
82,57,-3330.4610000000002
83,57,-2066.152
84,57,-4219.3493
85,57,-3203.6910000000003
86,57,-5256.2601
87,57,-4104.5278
88,57,-6341.1403
89,57,-5376.903
90,57,-7436.3593
91,57,-6185.8285000000005
92,57,-8411.2988
93,57,-7443.3455
94,57,-9391.9978
95,57,-8701.9978
96,57,-10611.9978
97,57,-9631.9978
61,58,10177.0022
62,58,6818.0022
63,58,8478.0022
64,58,5647.0022
65,58,7343.0022
66,58,4321.0022
67,58,6080.0022
68,58,3130.9128
69,58,4894.7749
70,58,2069.5158
71,58,4014.0392
72,58,1182.4633
73,58,3038.8188999999998
74,58,232.89199999999994
75,58,2054.1707
76,58,-636.2373
77,58,1005.1520999999999
78,58,-1493.0599
79,58,200.10219999999993
80,58,-2074.4563
81,58,-757.3582
82,58,-4784.1654
83,58,-3523.2119000000002
84,58,-5530.9433
85,58,-4456.9086
86,58,-6604.2801
87,58,-5253.7309000000005
88,58,-7426.6925
89,58,-6357.5024
90,58,-8711.680199999999
91,58,-7471.9978
92,58,-9557.7133
93,58,-8936.7169
94,58,-10711.9978
95,58,-9871.9978
96,58,-11711.9978
97,58,-10871.9978
98,58,-12790.9978
99,58,-11881.9978
62,59,10117.0022
63,59,12072.0022
64,59,9034.0022
65,59,10743.0022
66,59,7565.0022
67,59,9475.0022
68,59,6414.0022
69,59,8181.1639000000005
70,59,5491.9405
71,59,7225.451
72,59,4385.7864
73,59,6219.2262
74,59,3458.6341
75,59,5282.9009
76,59,2658.4379
77,59,4146.1312
78,59,1694.9537
79,59,3415.0022
80,59,1107.0911999999998
81,59,2366.0022
82,59,-1605.4736
83,59,-275.46899999999994
84,59,-2483.8192
85,59,-1340.644
86,59,-3580.9296
87,59,-2069.6156
88,59,-4452.1891
89,59,-3159.0260000000003
90,59,-5391.4503
91,59,-4475.644
92,59,-6576.6211
93,59,-5799.9978
94,59,-7680.9978
95,59,-6661.9978
96,59,-8656.9978
97,59,-7651.9978
98,59,-9525.9978
99,59,-8631.9978
100,59,-10451.9978
64,60,7299.0022
65,60,8979.0022
66,60,5921.0022
67,60,7611.0022
68,60,4778.0022
69,60,6377.0022
70,60,3557.2272000000003
71,60,5510.6257
72,60,2779.6509
73,60,4583.2134
74,60,1859.5591
75,60,3700.2544
76,60,1119.1255999999998
77,60,2595.8469
78,60,89.68690000000004
79,60,1789.7248
80,60,-593.0172
81,60,801.0159
82,60,-3185.6863000000003
83,60,-1956.1084999999998
84,60,-4019.4378
85,60,-2828.0117999999998
86,60,-5274.4278
87,60,-3724.6991000000003
88,60,-5894.6111
89,60,-4358.1595
90,60,-6401.4400000000005
91,60,-5185.4999
92,60,-7413.5912
93,60,-6783.8879
94,60,-8741.9978
95,60,-7890.4587
96,60,-9774.820699999998
97,60,-9081.3087
98,60,-10706.9978
99,60,-9975.9978
100,60,-11546.9978
101,60,-10762.9978
65,61,12609.0022
66,61,9578.0022
67,61,11289.0022
68,61,8173.0022
69,61,10105.0022
70,61,6976.0022
71,61,8776.0022
72,61,5902.7294
73,61,7860.536499999999
74,61,5129.2928999999995
75,61,7007.3769
76,61,4489.113
77,61,6080.8141
78,61,3493.9035999999996
79,61,5023.2022
80,61,2646.5901
81,61,3786.5217999999995
82,61,19.648500000000126
83,61,1309.9139
84,61,-857.4996
85,61,449.55820000000006
86,61,-1917.1874
87,61,-479.80869999999993
88,61,-2710.8675
89,61,-939.3823
90,61,-3465.0745
91,61,-2126.8028
92,61,-4339.6214
93,61,-3708.9978
94,61,-5678.2073
95,61,-4986.7153
96,61,-6824.9972
97,61,-6293.0174
98,61,-7852.3419
99,61,-7192.1216
100,61,-8877.9978
101,61,-8051.9978
102,61,-9901.9978
66,62,8048.0022
67,62,9828.0022
68,62,6748.0022
69,62,8468.0022
70,62,5466.0022
71,62,7155.0022
72,62,4366.0022
73,62,6183.1091
74,62,3337.0258999999996
75,62,5059.2051
76,62,2394.5998
77,62,4098.8015
78,62,1734.1032
79,62,3566.9745999999996
80,62,1137.6084
81,62,2421.5313
82,62,-1571.5074
83,62,-405.89879999999994
84,62,-2563.9978
85,62,-1246.0616
86,62,-3492.1876
87,62,-2093.4914
88,62,-4475.9978
89,62,-2212.2176
90,62,-4530.5067
91,62,-2934.0537
92,62,-5210.9592
93,62,-4273.1977
94,62,-6215.8856000000005
95,62,-5402.5354
96,62,-7167.704
97,62,-6675.496
98,62,-8360.5316
99,62,-7607.4524
100,62,-9360.9978
101,62,-8661.9978
102,62,-10586.9978
103,62,-9861.9978
67,63,13165.0022
68,63,9794.0022
69,63,11917.0022
70,63,8973.0022
71,63,10554.0022
72,63,7687.0022
73,63,9545.0022
74,63,6823.754
75,63,8726.099
76,63,5960.1799
77,63,7448.0022
78,63,4986.3149
79,63,6651.0022
80,63,4253.8261999999995
81,63,5324.4537
82,63,1637.8854000000001
83,63,2856.7595
84,63,699.4389
85,63,2016.5866
86,63,-327.4166
87,63,1236.9683999999997
88,63,-1098.616
89,63,852.4796
90,63,-1829.4051
91,63,-304.80089999999996
92,63,-2649.1292
93,63,-1744.1068
94,63,-3803.4785
95,63,-3040.6101
96,63,-4857.5341
97,63,-4282.2741
98,63,-6141.5555
99,63,-5365.8883000000005
100,63,-6996.2051
101,63,-6328.8293
102,63,-8240.9978
103,63,-7320.9978
104,63,-9461.9978
105,63,-8631.9978
69,64,10154.0022
70,64,7249.0022
71,64,8876.0022
72,64,6132.0022
73,64,7910.0022
74,64,5068.0022
75,64,6745.0022
76,64,4181.6696999999995
77,64,5679.4183
78,64,3327.4096
79,64,4988.0022
80,64,2837.6655
81,64,4042.9006
82,64,9.782000000000039
83,64,1165.6855
84,64,-993.9348
85,64,292.1459000000001
86,64,-1993.6793
87,64,-557.8199
88,64,-2840.8015
89,64,-537.4753000000001
90,64,-2989.9891
91,64,-1273.959
92,64,-3474.4869
93,64,-2386.7592
94,64,-4441.5059
95,64,-3540.4695
96,64,-5470.609
97,64,-4736.5383999999995
98,64,-6579.7739
99,64,-5836.7698
100,64,-7483.5394
101,64,-6818.6766
102,64,-8643.9978
103,64,-8027.9978
104,64,-9920.9978
105,64,-9251.9978
106,64,-11010.9978
70,65,10175.0022
71,65,12168.0022
72,65,9224.0022
73,65,11037.0022
74,65,8479.0022
75,65,10278.0022
76,65,7661.390200000001
77,65,9378.0022
78,65,6790.1206999999995
79,65,8369.325700000001
80,65,5504.9351
81,65,7300.181299999999
82,65,3592.2564999999995
83,65,4710.4745
84,65,2616.5358
85,65,3636.2643
86,65,1543.3818
87,65,2968.0022
88,65,547.3362000000001
89,65,2527.6536
90,65,-202.139
91,65,1422.3251999999998
92,65,-961.9505
93,65,197.08839999999998
94,65,-1992.722
95,65,-916.4114999999999
96,65,-2977.6335
97,65,-2620.8256
98,65,-4229.1606
99,65,-3433.2937
100,65,-5085.0652
101,65,-4459.8493
102,65,-6129.3483
103,65,-5652.9978
104,65,-7611.9978
105,65,-6881.9978
106,65,-8581.9978
107,65,-7741.9978
72,66,7647.0022
73,66,9408.0022
74,66,6630.0022
75,66,8136.0022
76,66,5418.0022
77,66,7228.2455
78,66,4776.0987
79,66,7135.0875
80,66,4186.7187
81,66,5524.6287999999995
82,66,1655.5522999999998
83,66,2772.6515
84,66,774.1728999999999
85,66,1849.1547
86,66,-422.65729999999996
87,66,1148.4155999999998
88,66,-1259.3058
89,66,1072.5022
90,66,-1460.374
91,66,317.1813000000001
92,66,-1958.2664
93,66,-656.6365
94,66,-2857.9494
95,66,-1615.7143999999998
96,66,-3323.6195000000002
97,66,-2807.1019
98,66,-4884.6631
99,66,-4045.437
100,66,-5797.6908
101,66,-5050.3664
102,66,-6799.2145
103,66,-6137.9978
104,66,-8021.9978
105,66,-7261.9978
106,66,-9091.9978
107,66,-8251.9978
108,66,-10181.9978
73,67,12491.0022
74,67,9996.0022
75,67,11847.0022
76,67,9099.0022
77,67,10938.5728
78,67,8100.4965
79,67,10294.7029
80,67,7416.9482
81,67,8846.232600000001
82,67,5026.1388
83,67,6341.7285999999995
84,67,4107.6443
85,67,5491.3297
86,67,3109.1251
87,67,4732.6385
88,67,2094.1427
89,67,3968.9857999999995
90,67,1569.8089999999997
91,67,3197.7577
92,67,815.6021999999999
93,67,2268.0022
94,67,-162.7975
95,67,1118.609
96,67,-1019.1668999999999
97,67,-34.866300000000024
98,67,-2307.7264999999998
99,67,-1507.8662
100,67,-3390.0054
101,67,-2522.8311
102,67,-4221.9978
103,67,-3549.9978
104,67,-5529.9978
105,67,-4745.9978
106,67,-6631.9978
107,67,-5760.9978
108,67,-7591.9978
109,67,-6801.9978
74,68,8299.0022
75,68,9865.0022
76,68,6980.0022
77,68,8858.0022
78,68,5894.2096
79,68,8127.289099999999
80,68,5490.1716
81,68,6882.235
82,68,3092.5711
83,68,4334.458
84,68,2082.4195999999997
85,68,3523.3940000000002
86,68,1012.4067000000001
87,68,2808.629
88,68,304.7223
89,68,2397.2167999999997
90,68,-138.41660000000002
91,68,1746.5022
92,68,-703.749
93,68,972.9976
94,68,-1315.6456
95,68,188.61630000000002
96,68,-1984.0537
97,68,-645.333
98,68,-2875.8035
99,68,-2031.7948999999999
100,68,-3951.9978
101,68,-3147.1512000000002
102,68,-4891.9978
103,68,-4221.9978
104,68,-6020.9978
105,68,-5325.9978
106,68,-7101.9978
107,68,-6373.9978
108,68,-8262.9978
109,68,-7599.9978
110,68,-9151.9978
75,69,13426.0022
76,69,10635.0022
77,69,12245.0022
78,69,9611.409300000001
79,69,11691.9652
80,69,8779.0022
81,69,10318.0022
82,69,6472.679
83,69,7757.941900000001
84,69,5472.0745
85,69,7155.8338
86,69,4561.2531
87,69,6355.2679
88,69,3682.3711999999996
89,69,5578.6173
90,69,2968.7183999999997
91,69,4741.1417
92,69,2280.5861
93,69,3834.7303999999995
94,69,1417.0022
95,69,3011.6324
96,69,569.3303999999999
97,69,2015.6689000000001
98,69,-275.8586
99,69,654.8548
100,69,-1375.4888
101,69,-709.7981
102,69,-2514.4468
103,69,-1912.9733999999999
104,69,-3623.9978
105,69,-2936.9978
106,69,-4680.9978
107,69,-3762.9978
108,69,-5732.9978
109,69,-5001.9978
110,69,-6842.9978
111,69,-6011.9978
78,70,7513.0022
79,70,9589.0022
80,70,6639.0022
81,70,8207.263700000001
82,70,4427.8945
83,70,5791.0022
84,70,3473.0517
85,70,5101.3094
86,70,2546.8815999999997
87,70,4267.3688999999995
88,70,1671.5818
89,70,3714.8891000000003
90,70,1115.8123
91,70,3042.4687
92,70,634.3212
93,70,2412.5367
94,70,-125.22559999999999
95,70,1612.6385999999998
96,70,-729.2264
97,70,931.2184000000001
98,70,-1289.4858
99,70,-122.87080000000003
100,70,-1990.6126
101,70,-1118.5446
102,70,-2903.9002
103,70,-2317.1647
104,70,-4101.9978
105,70,-3406.9978
106,70,-5141.9978
107,70,-4438.9978
108,70,-6458.9978
109,70,-5760.9978
110,70,-7571.9978
111,70,-6670.9978
112,70,-8431.9978
79,71,13037.0022
80,71,10220.0022
81,71,11826.0022
82,71,7762.0022
83,71,9243.0022
84,71,6935.5599999999995
85,71,8543.9902
86,71,5958.096399999999
87,71,7775.422299999999
88,71,5102.9103
89,71,6871.2868
90,71,4249.9011
91,71,5967.4064
92,71,3480.4658
93,71,5347.7973999999995
94,71,2831.1425
95,71,4550.7219
96,71,2041.6212
97,71,3485.0373
98,71,1271.0022
99,71,2435.6972
100,71,456.35479999999995
101,71,1497.3827
102,71,-351.7777
103,71,352.2308999999999
104,71,-1492.1197
105,71,-913.0083
106,71,-2419.4961
107,71,-1682.7393
108,71,-3440.9978
109,71,-2977.9978
110,71,-4730.9978
111,71,-3891.9978
112,71,-5737.9978
113,71,-4721.9978
114,71,-6501.9978
81,72,10053.0022
82,72,5915.0022
83,72,7213.0022
84,72,4858.0374
85,72,6563.0022
86,72,4087.8032000000003
87,72,5834.0052
88,72,3309.1973
89,72,5224.5341
90,72,2641.3354999999997
91,72,4500.0966
92,72,1802.0216
93,72,3784.7371999999996
94,72,1140
95,72,3036.522
96,72,690.2761999999999
97,72,2343.6342999999997
98,72,30.375599999999963
99,72,1375.1165999999998
100,72,-688.1535
101,72,447.2266000000001
102,72,-1296.2889
103,72,-338.0824
104,72,-2216.0925
105,72,-1518.8402999999998
106,72,-3119.4829
107,72,-2426.0209
108,72,-4124.9978
109,72,-3627.5413000000003
110,72,-5301.9978
111,72,-4589.4303
112,72,-6220.9978
113,72,-5380.9978
114,72,-7125.9978
115,72,-6251.9978
116,72,-8030.9978
82,73,9300.0022
83,73,10797.0022
84,73,8237.0022
85,73,9962.0022
86,73,7391.451399999999
87,73,9093.049700000001
88,73,6515.2443
89,73,8365.0233
90,73,5712.6885999999995
91,73,7513.5533000000005
92,73,4765.6431999999995
93,73,6739.2110999999995
94,73,4094.6993
95,73,5944.6466
96,73,3404.4622
97,73,5094.1925
98,73,2689.0747
99,73,4050.2511999999997
100,73,1993.2486
101,73,3081.8139
102,73,1051.1124999999997
103,73,2189.0506
104,73,144.00220000000002
105,73,815.0022
106,73,-916.4177
107,73,-176.15250000000003
108,73,-2058.1039
109,73,-1403.0464
110,73,-3031.9978
111,73,-2361.9978
112,73,-4096.5644999999995
113,73,-3205.3861
114,73,-4917.9978
115,73,-4101.9978
116,73,-5830.9978
117,73,-4941.9978
83,74,8884.0022
84,74,6404.0022
85,74,7983.0022
86,74,5472.6289
87,74,7250.0022
88,74,4760.1902
89,74,6604.1974
90,74,4025.2522
91,74,5964.5577
92,74,3188.3113999999996
93,74,5235.8544999999995
94,74,2478.985
95,74,4350.5707999999995
96,74,1824.8678
97,74,3612.1854000000003
98,74,1210.7936
99,74,2647.1575
100,74,491.6800999999999
101,74,1753.8546000000001
102,74,-298.2269
103,74,991.0166
104,74,-830.9978
105,74,40.2115
106,74,-1724.6100000000001
107,74,-816.8785
108,74,-2837.457
109,74,-2094.1139
110,74,-3887.9978
111,74,-3015.4978
112,74,-4922.9978
113,74,-4030.4915
114,74,-5779.9978
115,74,-4871.9978
116,74,-6670.9978
117,74,-5678.9978
118,74,-7541.9978
119,74,-6401.9978
120,74,-8301.9978
84,75,9607.0022
85,75,11429.0022
86,75,8642.0022
87,75,10524.0022
88,75,7884.1881
89,75,9741.116
90,75,7179.9649
91,75,9028.138
92,75,6237.0022
93,75,8076.0433
94,75,5486.6217
95,75,7364.8105000000005
96,75,4813.8128
97,75,6508.3547
98,75,4151.5204
99,75,5531.9947
100,75,3322.4907000000003
101,75,4556.7204
102,75,2410.558
103,75,3731.6103999999996
104,75,1688.9368999999997
105,75,2776.8815
106,75,694.5353000000001
107,75,1778.0022
108,75,-465.9978
109,75,463.6355
110,75,-1453.1742
111,75,-440.71590000000003
112,75,-2334.5026
113,75,-1370.9978
114,75,-3191.9978
115,75,-2236.1802
116,75,-4196.2296
117,75,-2990.9978
118,75,-5063.9978
119,75,-3871.9978
120,75,-5841.9978
121,75,-4641.9978
122,75,-6501.9978
85,76,9625.0022
86,76,6931.0022
87,76,8644.0022
88,76,6025.7202
89,76,7891.0022
90,76,5383.8112
91,76,7313.0022
92,76,4777.8966
93,76,6664.2648
94,76,3956.3068000000003
95,76,5931.0491
96,76,3301.2001
97,76,5093.6218
98,76,2655.7199
99,76,4160.9535
100,76,1909.708
101,76,3290.7293
102,76,1087.2165
103,76,2542.1769
104,76,459.1681
105,76,1945.446
106,76,-184.96299999999997
107,76,1123.9049999999997
108,76,-1054.7438
109,76,-8.858499999999935
110,76,-2094.7092
111,76,-1024.4645
112,76,-3142.4187
113,76,-2029.7026999999998
114,76,-4146.8083
115,76,-3066.8289
116,76,-5315.4728000000005
117,76,-4184.7575
118,76,-6196.9978
119,76,-4972.9978
120,76,-6939.9978
121,76,-5750.9978
122,76,-7631.9978
123,76,-6562.9978
86,77,10004.0022
87,77,11919.0022
88,77,9129.0022
89,77,11104.0022
90,77,8404.4143
91,77,10306.7666
92,77,7607.5706
93,77,9721.0022
94,77,6863.2101
95,77,8842.2695
96,77,6147.7966
97,77,8187.448799999999
98,77,5688.8517999999995
99,77,7227.264
100,77,4887.0256
101,77,6267.9317
102,77,3916.4204
103,77,5356.6701
104,77,3064.9348999999997
105,77,4535.4288
106,77,2439.6237
107,77,3619.7123
108,77,1448.3527
109,77,2805.6835
110,77,647.6407
111,77,1770.3478999999998
112,77,-484.84839999999997
113,77,932.2130000000001
114,77,-1335.5851
115,77,24.67439999999999
116,77,-2163.9016
117,77,-1118.5978
118,77,-3202.7198000000003
119,77,-2180.3967
120,77,-4206.9978
121,77,-3131.9978
122,77,-5149.9978
123,77,-4041.9978
124,77,-6021.9978
125,77,-5131.9978
126,77,-8121.9978
87,78,10255.0022
88,78,7501.0022
89,78,9297.0022
90,78,6634.1548
91,78,8607.0022
92,78,5861.0022
93,78,7923.463500000001
94,78,5250.7056999999995
95,78,7309.699599999999
96,78,4446.3315
97,78,6663.8287
98,78,3926.0063
99,78,5654.9902
100,78,3234.8304
101,78,4791.5942
102,78,2525.6567999999997
103,78,4059.5401
104,78,1861.2642
105,78,3406.9439
106,78,1256.371
107,78,2625.4159
108,78,285.90520000000004
109,78,1842.0173
110,78,-498.0118
111,78,958.2492000000001
112,78,-1574.8871
113,78,-11.507499999999936
114,78,-2474.8924
115,78,-965.3702
116,78,-3250.3230000000003
117,78,-2123.5579
118,78,-4231.0142
119,78,-3177.6497
120,78,-5215.9978
121,78,-4012.1634
122,78,-6051.9978
123,78,-4922.9978
124,78,-7073.9978
125,78,-6161.9978
126,78,-9071.9978
127,78,-8241.9978
89,79,12518.0022
90,79,9654.0022
91,79,11574.0022
92,79,8882.2677
93,79,10766.6614
94,79,8082.7437
95,79,10237.0022
96,79,7283.0001999999995
97,79,9390.953800000001
98,79,6802.7025
99,79,8672.458900000001
100,79,6257.5578
101,79,7782.231199999999
102,79,5488.3597
103,79,6842.4469
104,79,4559.7114
105,79,5991.7746
106,79,3807.9964
107,79,5127.5935
108,79,2634.5833
109,79,4427.6571
110,79,1865.4492999999998
111,79,3450.9659
112,79,878.4279
113,79,2494.3437
114,79,52.84990000000005
115,79,1526.154
116,79,-795.1803
117,79,483.8226000000001
118,79,-1741.9747
119,79,-698.7727
120,79,-2727.0503
121,79,-1662.9135999999999
122,79,-3681.9978
123,79,-2682.8518
124,79,-4654.9978
125,79,-3791.9978
126,79,-6771.9978
127,79,-5971.9978
128,79,-7522.9978
129,79,-6431.9978
90,80,8097.0022
91,80,9879.0022
92,80,7234.651699999999
93,80,9149.0022
94,80,6395.0022
95,80,8412.2458
96,80,5714.3305
97,80,7747.9157000000005
98,80,4965.6854
99,80,7033.6502
100,80,4353.1352
101,80,6188.0148
102,80,3705.0927
103,80,5364.8344
104,80,2951.9291
105,80,4652.5010999999995
106,80,2153.7994
107,80,3888.2735000000002
108,80,1150.9656
109,80,2933.5822
110,80,440.9172
111,80,2184.0638
112,80,-261.29499999999996
113,80,1320.6662999999999
114,80,-994
115,80,531.7212000000001
116,80,-1709.2241
117,80,-422.47720000000004
118,80,-2395.5204
119,80,-1474.312
120,80,-3285.1715
121,80,-2283.8215
122,80,-4014.3256
123,80,-3147.757
124,80,-5321.9978
125,80,-4738.9978
126,80,-7776.9978
127,80,-6868.9978
128,80,-8376.9978
129,80,-7401.9978
130,80,-9001.9978
95,81,11347.369
96,81,8413.722000000002
97,81,10680.0022
98,81,7641.294000000001
99,81,9838.077200000002
100,81,6840.3802
101,81,9227.6743
102,81,6195.3963
103,81,8439.4343
104,81,5403.9084
105,81,7634.1212000000005
106,81,4651.9192
107,81,6839.9507
108,81,3988.2749000000003
109,81,5982.3913999999995
110,81,3286.9003000000002
111,81,5117.2346
112,81,2562.9488
113,81,4224.4564
114,81,1836.0520999999999
115,81,3307.3477000000003
116,81,1164.0113999999999
117,81,2403.5647
118,81,464.6717
119,81,1434.0425
120,81,-540.247
121,81,342.89279999999997
122,81,-1514.104
123,81,-677.9196999999999
124,81,-2555.0814
125,81,-2329.5637
126,81,-5568.9884
127,81,-4506.7109
128,81,-6056.9978
129,81,-4968.9978
130,81,-6709.9978
131,81,-5592.9978
132,81,-7437.9978
133,81,-6327.9978
134,81,-8100.9978
135,81,-7071.9978
96,82,7165.0022
97,82,9299.242300000002
98,82,6427.3718
99,82,8666.120400000002
100,82,5480.658899999999
101,82,7985.2555999999995
102,82,4809.771
103,82,7194.535499999999
104,82,4180.0449
105,82,6435.6392
106,82,3503.3805999999995
107,82,5750.0884
108,82,2927.631
109,82,4969.7095
110,82,2298.4051
111,82,4225.9659
112,82,1707.6336999999999
113,82,3395.2546
114,82,1126.3660999999997
115,82,2586.8388999999997
116,82,439.3125000000001
117,82,1805.6646
118,82,-225.62829999999997
119,82,887.7479999999999
120,82,-982.1868
121,82,-47.171299999999974
122,82,-1785.7431000000001
123,82,-971.3575999999999
124,82,-2554.2106
125,82,-2439.5301
126,82,-6020.3962
127,82,-4991.7787
128,82,-6503.4312
129,82,-5437.0107
130,82,-7019.9978
131,82,-6009.4066
132,82,-7669.9978
133,82,-6709.9978
134,82,-8382.9978
135,82,-7420.9978
136,82,-9102.9978
101,83,11284.0022
102,83,8283.0022
103,83,10513.402100000001
104,83,7581.682
105,83,9594.2263
106,83,6757.3577
107,83,8798.7036
108,83,6029.8944
109,83,7995.3111
110,83,5322.6935
111,83,7162.8484
112,83,4690.4751
113,83,6317.2042
114,83,4036.1916
115,83,5671.5938
116,83,3412.1202999999996
117,83,4858.2863
118,83,2820.0290999999997
119,83,4167.7561
120,83,2239.5917999999997
121,83,3441.8904999999995
122,83,1682.5949
123,83,2735.3079
124,83,1375.4162000000001
125,83,1856.3701999999998
126,83,-1666.013
127,83,-1085.4736
128,83,-2388.1019
129,83,-1591.0111
130,83,-3050.0708
131,83,-2039.7589
132,83,-3734.9707000000003
133,83,-2657.9978
134,83,-4551.9978
135,83,-3435.9978
136,83,-5321.9978
137,83,-4192.9978
102,84,6225.0301
103,84,8185.085399999999
104,84,5628.4248
105,84,7620.6704
106,84,5011.1997
107,84,7148.6227
108,84,4446.0556
109,84,6537.2636
110,84,3996.4051
111,84,5886.9142999999995
112,84,3518.3034
113,84,5272.1194
114,84,2878.5749
115,84,4536.7897
116,84,2406.8923
117,84,3885.8419000000004
118,84,1787.2871999999998
119,84,3192.0766000000003
120,84,1282.8836000000001
121,84,2522.1731999999997
122,84,817.5345000000001
123,84,1886.8563
124,84,378.946
125,84,870.5763000000001
126,84,-2183.1527
127,84,-1595.3741
128,84,-3273.4634
129,84,-2443.8459
130,84,-4291.1903
131,84,-3193.0404000000003
132,84,-5113.6498
133,84,-3868.5081
134,84,-5881.3844
135,84,-4659.9978
136,84,-6717.9978
137,84,-5447.9978
138,84,-7485.9978
139,84,-6182.9978
140,84,-8180.9978
106,85,7910.6462
107,85,9970.227400000002
108,85,7235.9811
109,85,9266.129500000001
110,85,6624.3576
111,85,8533.5586
112,85,6015.8257
113,85,7742.5338
114,85,5393.4537
115,85,6931.7919
116,85,4709.7269
117,85,6324.465
118,85,4126.2137999999995
119,85,5443.7961
120,85,3514.8814999999995
121,85,4727.2825
122,85,2896.2208
123,85,3977.3082999999997
124,85,2460.2439
125,85,2958.9627
126,85,-236.6966
127,85,719.2618000000001
128,85,-948.0006
129,85,68.82299999999998
130,85,-1736.8106
131,85,-547.6555
132,85,-2510.8521
133,85,-1278.4312
134,85,-3307.3373
135,85,-1909.7116999999998
136,85,-4013.0254
137,85,-2555.2371
138,85,-4672.9978
139,85,-3220.9978
140,85,-5301.9978
141,85,-3910.9978
142,85,-5871.9978
107,86,8088.2457
108,86,5419.1156
109,86,7498.586399999999
110,86,4866.3461
111,86,6843.6253
112,86,4456.4293
113,86,6241.533
114,86,3965.4416
115,86,5660.031
116,86,3298.548
117,86,4956.5644999999995
118,86,2883.1382
119,86,4252.7569
120,86,2284.4719
121,86,3570.7421999999997
122,86,1792.5140000000001
123,86,2920.7259
124,86,1345.3374
125,86,1869.8636999999999
126,86,-1053.0683
127,86,-138.42509999999993
128,86,-1962.5103
129,86,-934.4042999999999
130,86,-3025.3635
131,86,-1758.0298
132,86,-3904.8026
133,86,-2588.6816
134,86,-4785.7528
135,86,-3333.3728
136,86,-5603.0692
137,86,-4060.2676
138,86,-6287.9175000000005
139,86,-4786.9978
140,86,-6934.9978
141,86,-5565.9978
142,86,-7658.9978
143,86,-6548.9978
110,87,7721.6017999999995
111,87,9786.019900000001
112,87,7309.237099999999
113,87,9112.0349
114,87,6673.9878
115,87,8354.100600000002
116,87,6038.4594
117,87,7555.4261
118,87,5377.9501
119,87,6864.0614
120,87,4763.7233
121,87,5968.4636
122,87,4136.9073
123,87,5239.258
124,87,3593.0173999999997
125,87,4121.223199999999
126,87,1119.7514999999999
127,87,2339.3390999999997
128,87,465.1296000000001
129,87,1695.7118
130,87,-365.90109999999993
131,87,820.0288999999999
132,87,-1234.3962
133,87,-151.6594
134,87,-2216.101
135,87,-1015.8516999999999
136,87,-3029.4069
137,87,-1718.4818
138,87,-3735.539
139,87,-2248.652
140,87,-4225.3872
141,87,-2881.2429
142,87,-4716.1443
143,87,-3704.9978
144,87,-5490.9978
113,88,7326.246099999999
114,88,4951.3642
115,88,6702.9204
116,88,4431.7910999999995
117,88,6091.6714999999995
118,88,3790.4743
119,88,5341.0106
120,88,3370.8637
121,88,4618.3867
122,88,2764.3489
123,88,3950.1866
124,88,2295.2376999999997
125,88,2877.759
126,88,29.069700000000125
127,88,1191.8595
128,88,-701.5536999999999
129,88,552.8751000000001
130,88,-1435.8816
131,88,-245.08410000000003
132,88,-2232.2384
133,88,-1335.3719
134,88,-3079.8958000000002
135,88,-2171.0822
136,88,-3944.7797
137,88,-2849.5562
138,88,-4874.9616
139,88,-3526.9791
140,88,-5466.0248
141,88,-4128.2885
142,88,-5992.4605
143,88,-4886.0846
144,88,-6597.8769
145,88,-5607.9884
116,89,7280.8378999999995
117,89,8897.142800000001
118,89,6610.2426
119,89,8010.923
120,89,5964.6485999999995
121,89,7299.242499999999
122,89,5289.6174
123,89,6476.3648
124,89,4773.4743
125,89,5318.5335
126,89,2476.5576
127,89,3836.2722999999996
128,89,1790.7875
129,89,3183.2909
130,89,1153.7026999999998
131,89,2449.6662
132,89,545.1736999999999
133,89,1279.5944
