n,z,betaMinus(keV)
139,89,2123.7545
140,89,1104.4191
141,89,2975.8745
142,89,1947.0425
143,89,3707.7131
144,89,2576.395
145,89,4228.2364
146,89,3339.4064
147,89,4965.7951
148,89,4065
121,90,-8175.8296
122,90,-9485.6366
123,90,-7534.0866
124,90,-8764.963
125,90,-6883.1037
126,90,-7525.2616
127,90,-4848.968
128,90,-6282.8212
129,90,-4120.4434
130,90,-5588.8595
131,90,-3435.0112
132,90,-4861.322
133,90,-2952.2124
134,90,-3866.7705
135,90,-2046.4473
136,90,-2835.9504
137,90,-1025.6117
138,90,-2152.6993
139,90,-311.331
140,90,-1311.0313
141,90,391.4727
142,90,-499.8388
143,90,1242.232
144,90,274.0882
145,90,1728.8531
146,90,921.2477
147,90,2427.4736
148,90,1631
149,90,3162
124,91,-7084.7747
125,91,-5242.6308
126,91,-5916
127,91,-3245.0869
128,91,-4712.7298
129,91,-2735
130,91,-4145.059
131,91,-2208.4729
132,91,-3707.6637
133,91,-1880.3393
134,91,-3015.361
135,91,-1295.1978
136,91,-2214.6629
137,91,-296.402
138,91,-1313.7716
139,91,558.5262
140,91,-381.6138
141,91,1337.1034
142,91,570.2993
143,91,2193.9105
144,91,1370.1184
145,91,2889.373
146,91,2137.4905
147,91,3586.3111
148,91,2765
149,91,4295
150,91,3543
127,92,-6140.9976
128,92,-7462
129,92,-5390
130,92,-7001.8072
131,92,-4613.3046
132,92,-6289.5572
133,92,-4246.0969
134,92,-5488.0792
135,92,-3533.9848
136,92,-4605
137,92,-2590.7577
138,92,-3621.5986
139,92,-1817.7347
140,92,-2750
141,92,-1029.4197
142,92,-1809.8462
143,92,-124.2619
144,92,-933.5116
145,92,518.5338
146,92,-146.8652
147,92,1261.6634
148,92,399.2685
149,92,1882
150,92,1203
151,92,2674
128,93,-6019
129,93,-3785
130,93,-5462
131,93,-3248
132,93,-4682
133,93,-2813
134,93,-4191
135,93,-2283
136,93,-3593.5462
137,93,-1695.5543
138,93,-2684.8905
139,93,-1001
140,93,-2103.3047
141,93,-395.1807
142,93,-1139.3021
143,93,476.5854
144,93,-220.063
145,93,1291.4491
146,93,722.7849
147,93,2190.9095
148,93,1360
149,93,2700
150,93,2051
151,93,3434
152,93,2672
129,94,-6579
130,94,-7980
131,94,-6090
132,94,-7340
133,94,-5410
134,94,-6742
135,94,-4785.4899
136,94,-5940
137,94,-4101
138,94,-5059
139,94,-3233
140,94,-4112
141,94,-2442.2558
142,94,-3139
143,94,-1478
144,94,-2258.2731
145,94,-802.1402
146,94,-1384.7902
147,94,20.7799
148,94,-751.1373
149,94,579.5559
150,94,-73.1143
151,94,1277.7559
152,94,401
153,94,2057
136,95,-4860
137,95,-2913
138,95,-4008
139,95,-2261
140,95,-3389
141,95,-1812
142,95,-2677
143,95,-1023.7818
144,95,-1756.6021
145,95,-214.1127
146,95,-767.4346
147,95,664.3145
148,95,-6.9302
149,95,1427.3
150,95,895.8929
151,95,2377
152,95,1620
153,95,3170
154,95,2353
137,96,-5478
138,96,-6673
139,96,-4757
140,96,-5689
141,96,-3963
142,96,-4771
143,96,-3103
144,96,-3940
145,96,-2279
146,96,-2948
147,96,-1507.6936
148,96,-2261.9902
149,96,-809.2519
150,96,-1350
151,96,43.5841
152,96,-738.3049
153,96,904.363
154,96,37.582
155,96,1420
156,96,521
140,97,-4728
141,97,-3061
142,97,-3952
143,97,-2324
144,97,-3346
145,97,-1635
146,97,-2300
147,97,-764.2709
148,97,-1571.3755
149,97,-123.3159
150,97,-619.8711
151,97,893.1015
152,97,123.6
153,97,1781.6696
154,97,1093
155,97,2500
156,97,1627
157,97,3052
141,98,-5429
142,98,-6237
143,98,-4567
144,98,-5414
145,98,-3757
146,98,-4547
147,98,-2930
148,98,-3728.5741
149,98,-2469.0006
150,98,-3061
151,98,-1452
152,98,-2055
153,98,-376.566
154,98,-1260
155,98,291.0753
156,98,-652.7561
157,98,720
158,98,-144
142,99,-5327
143,99,-3598
144,99,-4569
145,99,-2938
146,99,-3877
147,99,-2372.3848
148,99,-3094
149,99,-1599
150,99,-2344
151,99,-847
152,99,-1447.261
153,99,477.9998
154,99,-335.0623
155,99,1091.63
156,99,288.7717
157,99,1700
158,99,813
159,99,2276
144,100,-6634
145,100,-5133
146,100,-5924
147,100,-4263
148,100,-5050
149,100,-3661.8091
150,100,-4326.9476
151,100,-3007.9406
152,100,-3650.5075
153,100,-1827
154,100,-2550
155,100,-1041.6037
156,100,-1971
157,100,-402.3347
158,100,-1264
159,100,140
160,100,-784
147,101,-3741
148,101,-4606
149,101,-3167
150,101,-3882
151,101,-2404.2523
152,101,-3186
153,101,-1271
154,101,-1969.8648
155,101,-367
156,101,-1254.5923
157,101,213
158,101,-515
159,101,940
160,101,123
161,101,1566
149,102,-4981
150,102,-5666
151,102,-4164.7752
152,102,-4922.5753
153,102,-3135.3716
154,102,-3923.5573
155,102,-2418
156,102,-3304
157,102,-1771
158,102,-2667
159,102,-1102
160,102,-2004
161,102,-540
162,102,-1364
150,103,-5118
151,103,-3555
152,103,-4382
153,103,-2475.3893
154,103,-3201
155,103,-1562
156,103,-2516
157,103,-871
158,103,-1761
159,103,-287
160,103,-1087
161,103,300
162,103,-457
163,103,1526
151,104,-5265
152,104,-6076
153,104,-4287.8969
154,104,-5163.3651
155,104,-3624
156,104,-4525
157,104,-2990
158,104,-3861
159,104,-2353
160,104,-3187
161,104,-1692
162,104,-2604
163,104,-570
164,104,-1584
153,105,-3788
154,105,-4528
155,105,-2875
156,105,-3697
157,105,-2116
158,105,-3085
159,105,-1521
160,105,-2412
161,105,-877
162,105,-1792
163,105,260
164,105,-544
165,105,966
154,106,-6576
155,106,-5074.4052
156,106,-5883.0463
157,106,-4301
158,106,-5175
159,106,-3601
160,106,-4487
161,106,-2958
162,106,-3907
163,106,-1785
164,106,-2799
165,106,-1242
166,106,-2267
167,106,-763
156,107,-5182
157,107,-3605
158,107,-4505
159,107,-3036
160,107,-3893
161,107,-2261
162,107,-3016
163,107,-882
164,107,-1832
165,107,-217
166,107,-1084
167,107,356
168,107,-712
169,107,765
170,107,-275
171,107,1150
157,108,-5724
158,108,-6533.0066
159,108,-5133
160,108,-6183
161,108,-4807
162,108,-5597
163,108,-3409
164,108,-4477
165,108,-3015
166,108,-3843
167,108,-2275
168,108,-3127
169,108,-1633
170,108,-2547
171,108,-1085
172,108,-2090
158,109,-6089
159,109,-4497
160,109,-5535
161,109,-3973
162,109,-4853
163,109,-2601
164,109,-3503
165,109,-1948
166,109,-2899
167,109,-1227
168,109,-2084
169,109,-484
170,109,-1439
171,109,190
172,109,-873
173,109,665
162,110,-6690
163,110,-4600
164,110,-5415
165,110,-3729
166,110,-4847
167,110,-3315
168,110,-4270
169,110,-2697
170,110,-3566
171,110,-2060
172,110,-2952
173,110,-1550
174,110,-2510
165,111,-2974
166,111,-3925
167,111,-2321
168,111,-3299
169,111,-1768
170,111,-2614
171,111,-1084
172,111,-1957
173,111,-445
174,111,-1357
175,111,61
166,112,-6188
167,112,-4439
168,112,-5585
169,112,-3863
170,112,-4903
171,112,-3226
172,112,-4176
173,112,-2682
174,112,-3507
175,112,-2085
176,112,-3039
171,113,-2188
172,113,-3164
173,113,-1649
174,113,-2474
175,113,-947
176,113,-1915
177,113,-416
173,114,-3819
174,114,-4749
175,114,-3217
176,114,-4061
177,114,-2680
174,115,-3774
175,115,-2236
176,115,-3064
177,115,-1533
175,116,-4409
176,116,-5488
177,116,-3860
176,117,-4374
177,117,-2923
